Title,Operating system,Processor family,Processor,Processor technology,Chipset,Neural Processing Unit (NPU),Memory,Memory slots,Internal drive,Display,Graphics,Network interface,External I/O Ports,Audio Features,Webcam,Keyboard,Pointing device,Wireless technology,Finger print reader,Power supply,Battery,Energy efficiency,Dimensions (W X D X H),Weight,Warranty,Software included,Security management,Manageability features,Sustainable Impact Specifications,SourceFile,Display brightness,Display color gamut,Storage,Battery life,Video Playback Battery Life,Battery Recharge Time,Color,Expansion slots,Wireless Technologies (NFC),"Processor, graphics & memory",Screen-To-Body Ratio,Personalization,Active pen,Primary battery,Office software,McAfee AI Powered Security Software,Package weight,Sensors,Manageability Features,Processor and graphics,Stylus,Wireless technology WWAN,Support Service Included,Base features,ENERGY STAR compliance,Out-of-Band management,Internal M.2 storage,2nd internal M.2 storage,3rd internal M.2 storage,4th internal M.2 storage,Internal storage RAID,Mobile broadband,Broadband service provider,AC adapter,Power cord,Battery information,Settings,"Processor, graphics, memory & hard disk",Internal storage,Smart card reader,Package dimensions,Hard drive,External optical drive,Battery weight,Near field communication
HP ZBook X G1i 16 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,Windows 11 Pro,Intel® Core™ Ultra 9 processor,"Intel® Core™ Ultra 9 285H (up to 5.4 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 16 cores, 16 threads) [6,7]",Intel® vPro® Technology,Intel® integrated SoC,Intel® AI Boost (13 NPU TOPS),64 GB DDR5-5600 MT/s (2 x 32 GB),2 SODIMM; supports dual channel,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,"16"" diagonal, 2.5K (2560 x 1600), 120 Hz, IPS, anti-glare, Low Blue Light, 400 nits, 100% DCI-P3 [24,35,37]",Integrated: Intel® Arc™ 140T GPU Discrete: NVIDIA RTX™ Pro 2000 Blackwell Generation Laptop GPU (8 GB GDDR7 dedicated),Intel® I219-LM GbE,"Left side : 1 USB Type-A 5Gbps signaling rate (charging); 1 HDMI 2.1; 1 headphone/microphone combo; 1 power connector Right side : 1 USB Type-A 5Gbps signaling rate; 1 RJ-45; 1 SD card reader; 1 nano security lock slot [12,13,14]","Audio by Poly Studio, dual stereo speakers, HP World Facing Microphone dual array digital microphones, functions keys for volume up and down, combo microphone/headphone jack, HD audio",5 MP IR camera,"Spill-resistant, backlit keyboard with numeric keypad",Clickpad with multi-touch gesture support,"Intel® Wi-Fi 7 BE201 (2x2) and Bluetooth® 5.4 wireless card, vPro®",Fingerprint reader,150 W Slim Smart external AC power adapter,"HP Long Life 6-cell, 83 Wh Li-ion polymer",ENERGY STAR® certified,14.15 x 9.88 x 0.9 in,Starting at 4.5 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,"Buy Microsoft Office (sold separately) - Copilot in Windows with Copilot key [57,61] - HP Connection Optimizer - HP Hotkey support - HP MAC Address Manager - HP Notifications - HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Privacy Settings - HP Services Scan - HP Smart Support - HP Support Assistant - myHP - HSA Fusion for Commercial - HSA Telemetry for Commercial - Poly Camera Pro - Poly Lens - Edge Customization - -",HP Sure Admin - HP Sure Click - HP Sure Recover - HP Sure Run - HP Sure Sense - HP Sure Start - - Secured-Core PC Enable - Windows Hello Enhanced SIgn-in Security (ESS) Enable - Absolute Persistence Module - HP BIOS Recovery - BIOS Update via Network - HP BIOSphere - HP DriveLock and Automatic DriveLock - HP Secure Erase - HP Wake on WLAN - Audio Permanent Disable - - - - - -,HP Client Catalog (download) - HP Client Management Script Library (download) - HP Cloud Recovery - - HP Image Assistant (download) - - HP Manageability Integration Kit (download) - HP Power Manager with Battery Health Manager (download) - HP Driver Packs (download) - HP Connect for Microsoft Endpoint Manager,"Bulk packaging available; External power supply 90% efficiency; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; 60% post-consumer recycled plastic; Low halogen PCAs; Outside box and corrugated cushions are 100% sustainably sourced or recyclable [45,46,47,48,50]",hp_laptop_1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OmniBook 5 Laptop AI 16-af1037nr 16"", Touch screen, Windows 11 Home, Intel® Core™ Ultra 7, 16GB RAM, 512GB SSD, 2K, Glacier silver",Windows 11 Home,,"Intel® Core™ Ultra 7 255U (up to 5.2 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 12 cores, 14 threads) [6,7]",,,Intel® AI Boost (12 NPU TOPS),16 GB LPDDR5x-7467 MT/s (onboard),,,"16"" diagonal, 2K (1920 x 1200), touch, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",Integrated: Intel® Graphics,,"1 USB Type-A 10Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate; 1 HDMI-out 2.1; 1 headphone/microphone combo; 2 USB Type-C® 10Gbps signaling rate (USB Power Delivery 3.1, DisplayPort™ 1.4a, HP Sleep and Charge)",DTS:X® Ultra; Dual speakers; HP Audio Boost,HP True Vision 1080p FHD IR camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, backlit, soft gray keyboard with numeric keypad",HP Imagepad,"Intel® Wi-Fi 6E AX211 (2x2) and Bluetooth® 5.3 wireless card (supporting gigabit data rate) [11,12,46]",,65 W USB Type-C® power adapter,"3-cell, 59 Wh Li-ion polymer",EPEAT® Gold with Climate+,14.08 x 10.03 x 0.7 in (front); 14.08 x 10.03 x 0.73 in (rear),3.92 lb,1-year limited hardware warranty. Additional information available at www.support.hp.com ; 1-year limited technical support for software and initial setup (from date of purchase),"1 month trial for new Microsoft 365 customers [2, 25, 43]",Mic mute key; Camera privacy shutter; Trusted Platform Module (Firmware TPM) support,,,hp_laptop_10.html,300 nits,62.5% sRGB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,Up to 13 hours,Up to 19 hours and 15 minutes,Supports battery fast charge: approximately 50% in 30 minutes,Glacier silver aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Chromebook 15a-nb0097nr, ChromeOS, 15.6"", Intel® Core™ i3, 8GB RAM, 128GB UFS, FHD",ChromeOS,,"Intel® Core™ i3-N305 (up to 3.8 GHz with Intel® Turbo Boost Technology, 6 MB L3 cache, 8 cores, 8 threads) [6,7]",,,,8 GB LPDDR5-4800 MT/s (onboard),,,"15.6"" diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC [17,35]",Integrated: Intel® UHD Graphics,,"2 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4); 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 headphone/microphone combo",Dual speakers,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, backlit, mineral silver keyboard with numeric keypad",HP Imagepad,"Intel® Wi-Fi 6E AX211 (2x2) and Bluetooth® 5.3 wireless card (supporting gigabit data rate) [11,12,46]",,45 W USB Type-C® power adapter,"3-cell, 58 Wh Li-ion polymer",EPEAT® Gold registered,14.28 x 9.51 x 0.78 in,3.81 lb,1-year limited hardware warranty. Additional information available at www.support.hp.com ; 90 days limited technical support for software and initial setup (from date of purchase); 1-year SmartFriend,,H1 Secure Microcontroller; Mic mute key; Camera privacy shutter,,,hp_laptop_11.html,250 nits,45% NTSC,128 GB UFS,Up to 13 hours and 15 minutes,,Supports battery fast charge: approximately 50% in 45 minutes,Natural silver,1 microSD media card reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook Ultra G1a Next Gen AI Mobile Workstation PC 3 Yr Warranty & 3 Yr Wolf Pro Security,Windows 11 Pro,AMD Ryzen™ AI Max PRO processor,"AMD Ryzen™ AI Max PRO 385 (up to 5.0 GHz max boost clock, 32 MB L3 cache, 8 cores, 16 threads) [6,7]",,AMD integrated APU,AMD Ryzen™ AI (50 NPU TOPS),32 GB LPDDR5x-8533 MT/s (onboard),,512 GB PCIe® Gen4 NVMe™ TLC SSD,"14"" diagonal, WUXGA (1920 x 1200), IPS, anti-glare, 400 nits, 100% sRGB",Integrated: AMD Radeon™ 8050S Graphics,,"Left side : 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1); 1 HDMI 2.1; 1 headphone/microphone combo; 1 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) Right side : 1 USB Type-A 10Gbps signaling rate (charging); 1 security lock slot; 1 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1)","Audio by Poly Studio, 4 integrated stereo speakers (1W/8 ohm per speaker), discrete amplifiers, 2 integrated dual array digital microphones",5 MP IR camera,"Spill-resistant, backlit keyboard with numeric keypad","Clickpad with multi-touch gesture support, taps enabled as default with image sensor and glass surface",MediaTek Wi-Fi 7 MT7925 (2x2) and Bluetooth® 5.4 wireless card,Fingerprint reader,140 W USB Type-C® slim adapter,"HP XL-Long Life 4 -cell, 74.5 Wh polymer",ENERGY STAR® certified,12.29 x 8.45 x 0.71 in,3.46 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Privacy Settings - HP Touchpoint Customizer - HP Services Scan - Buy Microsoft Office (sold separately) - Battery Health Manager - HP Support Assistant - HP Connection Optimizer - HPX - HP Hotkey support - - - - - - - - -,HP TPM Configuration Utility - HP Sure Run Gen4 - HP Client Security Manager - HP Sure Recover Gen4 with Embedded Reimaging - Secured-core PC capable - TPM 2.0 embedded security chip - Camera privacy shutter - HP Manageability Integration Kit - HP Sure Sense - HP Sure Start Gen6 - Nano Security Lock Slot - HP Image Assistant Gen4.6 - - - - - - - - - - -,HP Power Manager - HP Connect for Microsoft Endpoint Manager - HP Manageability Integration Kit - HP Image Assistant - - - - - -,"Bulk packaging available; External power supply 90% efficiency; 60% post-consumer recycled plastic; Low Halogen17; 100% of HP paper-based packaging is from recycled or certified sustainable sources [38,39,40,41]",hp_laptop_12.html,,,,,,,Meteor silver,,NFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 4 G1i 16 inch Notebook AI PC Wolf Pro Security Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp_laptop_13.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook Ultra G1a Next Gen AI Mobile Workstation PC 3 Yr Warranty & 3 Yr Wolf Pro Security,Windows 11 Pro,AMD Ryzen™ AI Max+ PRO processor,"AMD Ryzen™ AI Max+ PRO 395 (up to 5.1 GHz max boost clock, 64 MB L3 cache, 16 cores, 32 threads) [6,7]",,AMD integrated APU,AMD Ryzen™ AI (50 NPU TOPS),64 GB LPDDR5x-8533 MT/s (onboard),,2 TB PCIe® Gen4 NVMe™ TLC SSD,"14"" diagonal, 2.8K (2880 x 1800), OLED, touch, IPS, BrightView, Low Blue Light, 400 nits, 100% DCI-P3",Integrated: AMD Radeon™ 8060S Graphics,,"Left side : 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1); 1 HDMI 2.1; 1 headphone/microphone combo; 1 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) Right side : 1 USB Type-A 10Gbps signaling rate (charging); 1 security lock slot; 1 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1)","Audio by Poly Studio, 4 integrated stereo speakers (1W/8 ohm per speaker), discrete amplifiers, 2 integrated dual array digital microphones",5 MP IR camera,"Spill-resistant, backlit keyboard with numeric keypad","Clickpad with multi-touch gesture support, taps enabled as default with image sensor and glass surface",MediaTek Wi-Fi 7 MT7925 (2x2) and Bluetooth® 5.4 wireless card,Fingerprint reader,140 W USB Type-C® slim adapter,"HP XL-Long Life 4 -cell, 74.5 Wh polymer",ENERGY STAR® certified,12.29 x 8.45 x 0.71 in,3.46 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Privacy Settings - HP Touchpoint Customizer - HP Services Scan - Buy Microsoft Office (sold separately) - Battery Health Manager - HP Support Assistant - HP Connection Optimizer - HPX - HP Hotkey support - - - - - - - - -,HP TPM Configuration Utility - HP Sure Run Gen4 - HP Client Security Manager - HP Sure Recover Gen4 with Embedded Reimaging - Secured-core PC capable - TPM 2.0 embedded security chip - Camera privacy shutter - HP Manageability Integration Kit - HP Sure Sense - HP Sure Start Gen6 - Nano Security Lock Slot - HP Image Assistant Gen4.6 - - - - - - - - - - -,HP Power Manager - HP Connect for Microsoft Endpoint Manager - HP Manageability Integration Kit - HP Image Assistant - - - - - -,"Bulk packaging available; External power supply 90% efficiency; 60% post-consumer recycled plastic; Low Halogen17; 100% of HP paper-based packaging is from recycled or certified sustainable sources [38,39,40,41]",hp_laptop_14.html,,,,,,,Meteor silver,,NFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook 8 G1i 14 inch Mobile Workstation PC Wolf Pro Security Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp_laptop_15.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteBook X G1i 14 inch Touch Notebook Next Gen AI PC 3 Yr Warranty & Wolf Pro Security Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp_laptop_16.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ZBook 8 G1a 14 Mobile Workstation PC Touch with 3 Yr Warranty & Wolf Pro Security,Windows 11 Pro,AMD Ryzen™ AI 7 PRO processor,"AMD Ryzen™ AI 7 PRO 350 (up to 5.0 GHz max boost clock, 16 MB L3 cache, 8 cores, 16 threads) [6,7]",,AMD integrated SoC,AMD Ryzen™ AI (50 NPU TOPS),32 GB DDR5-5600 MT/s (2 x 16 GB),2 SODIMM; supports dual channel,512 GB PCIe® Gen4 NVMe™ TLC SSD,"14"" diagonal, WUXGA (1920 x 1200), touch, IPS, anti-glare, 300 nits, 45% NTSC [24,35,37]",Integrated: AMD Radeon™ 860M Graphics,Realtek RTL8111EPP-CG GbE,"Left side : 1 HDMI 2.1; 1 headphone/microphone combo; 2 Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) Right side : 1 security lock slot; 1 RJ-45 Ethernet port; 1 USB Type-A 5Gbps signaling rate (powered); 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4) [12,13,14]","Audio by Poly Studio, dual stereo speakers, HP World Facing Microphone dual array digital microphones, functions keys for volume up and down, combo microphone/headphone jack, HD audio",5 MP IR AI camera,"HP Premium Keyboard – spill-resistant, backlit keyboard",Clickpad with multi-touch gesture support,MediaTek Wi-Fi 7 MT7925 (2x2) and Bluetooth® 5.4 wireless card,Fingerprint reader,100 W USB Type-C® slim adapter,"HP Long Life 3-cell, 62 Wh Li-ion polymer",ENERGY STAR® certified,12.43 x 8.74 x 0.74 in,Starting at 3.18 lb,3 year (3/3/0) limited warranty includes 3 years of parts and labor. No on-site repair. Terms and conditions vary by country. Certain restrictions and exclusions apply.,"Buy Microsoft Office (sold separately) - Copilot in Windows with Copilot key [54,61] - HP Connection Optimizer - HP Hotkey support - HP MAC Address Manager - HP Notifications - HP UEFI BIOS Certification level 2.7B - HP PC Hardware Diagnostics Windows - HP Privacy Settings - HP Services Scan - HP Smart Support - HP Support Assistant - myHP - HSA Fusion for Commercial - HSA Telemetry for Commercial - Poly Camera Pro - Poly Lens - Edge Customization - -",HP Sure Admin - HP Sure Click - HP Sure Recover - HP Sure Run - HP Sure Sense - HP Sure Start - HP Tamper Lock - Secured-Core PC Enable - Windows Hello Enhanced SIgn-in Security (ESS) Enable - Absolute Persistence Module - HP BIOS Recovery - BIOS Update via Network - HP BIOSphere - HP DriveLock and Automatic DriveLock - HP Secure Erase - HP Wake on WLAN - Audio Permanent Disable - - - - - -,HP Client Catalog (download) - HP Client Management Script Library (download) - HP Cloud Recovery - - HP Driver Packs (download) - HP Image Assistant (download) - HP Manageability Integration Kit (download) - HP Power Manager with Battery Health Manager (download) - - HP Connect for Microsoft Endpoint Manager,"Low halogen; Bulk packaging available; External power supply 90% efficiency; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; Outside box and corrugated cushions are 100% sustainably sourced and recyclable; 60% post-consumer recycled plastic [45,46,47,48,50]",hp_laptop_17.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OmniBook 3 Laptop Next Gen AI 14-ha0087nr 14"", Windows 11 Home, AMD Ryzen™ AI 7, 16GB RAM, 512GB SSD, FHD, Glacier silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp_laptop_18.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
